_id,AnnoS,Lau_M,Lau_F,Lau,fonte dati,Note
1,2023,164550,221402,385952,Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2024,dati provvisori
2,2022,156696,209909,366605,Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2024,""
3,2021,160064,213287,373351,Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2024,""
4,2020,153267,200052,353319,Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2024,""
5,2019,148774,194681,343455,Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2024,""
6,2018,140930,186843,327773,Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2024,""
7,2017,134639,183324,317963,Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2024,""
8,2016,131378,180234,311612,Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2024,""
9,2015,127000,177841,304841,Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2024,""
10,2014,126000,182010,308010,Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2024,""
11,2013,125964,181892,307856,Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2024,""
12,2012,123726,178747,302473,Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2024,""
13,2011,121897,174781,296678,Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2024,""
14,2010,117897,167998,285895,Anagrafe Nazionale degli Studenti universitari (ANS) - maggio 2024,""
15,2009,122877,169933,292810,Rilevazione Istruzione Universitaria,""
16,2008,125.050,169927,294.977,Rilevazione Istruzione Universitaria,""
17,2007,126017,174114,300131,Rilevazione Istruzione Universitaria,""
18,2006,128106,173270,301376,Rilevazione Istruzione Universitaria,""
19,2005,128869,172429,301298,Rilevazione Istruzione Universitaria,""
20,2004,114123,154698,268821,Rilevazione Istruzione Universitaria,""
21,2003,103355,131584,234939,Rilevazione Istruzione Universitaria,""
22,2002,88045,113073,201118,Rilevazione Istruzione Universitaria,""
23,2001,74623,97183,171806,Rilevazione Istruzione Universitaria,""
